Attendance,Task_Submissions,Feedback,Performance
55,20,9,Needs Improvement
81,17,8,Successful
98,5,8,Needs Improvement
94,2,4,Needs Improvement
85,7,8,Needs Improvement
94,14,8,Successful
66,4,6,Needs Improvement
53,14,5,Needs Improvement
82,15,7,Successful
56,0,1,Needs Improvement
91,8,7,Needs Improvement
59,4,8,Needs Improvement
70,18,1,Needs Improvement
63,2,10,Needs Improvement
79,10,6,Needs Improvement
63,12,6,Needs Improvement
89,9,10,Needs Improvement
74,1,6,Needs Improvement
76,12,5,Needs Improvement
91,12,10,Successful
71,3,9,Needs Improvement
87,19,8,Successful
54,9,3,Needs Improvement
82,8,4,Needs Improvement
73,2,9,Needs Improvement
71,6,5,Needs Improvement
76,11,10,Needs Improvement
67,19,4,Needs Improvement
86,19,4,Needs Improvement
94,1,1,Needs Improvement
71,15,7,Needs Improvement
86,20,1,Needs Improvement
88,19,3,Needs Improvement
83,11,2,Needs Improvement
56,16,7,Needs Improvement
86,9,4,Needs Improvement
96,7,4,Needs Improvement
82,5,9,Needs Improvement
69,13,2,Needs Improvement
54,13,9,Needs Improvement
98,0,4,Needs Improvement
84,11,3,Needs Improvement
68,5,2,Needs Improvement
70,20,7,Needs Improvement
94,4,4,Needs Improvement
65,1,3,Needs Improvement
68,15,8,Needs Improvement
77,12,4,Needs Improvement
87,20,7,Successful
70,7,9,Needs Improvement
51,14,4,Needs Improvement
86,9,3,Needs Improvement
70,15,7,Needs Improvement
85,9,10,Needs Improvement
66,15,8,Needs Improvement
57,9,1,Needs Improvement
99,15,6,Successful
70,10,2,Needs Improvement
95,7,4,Needs Improvement
61,6,7,Needs Improvement
51,14,8,Needs Improvement
65,6,4,Needs Improvement
78,13,8,Successful
81,15,8,Successful
89,20,3,Needs Improvement
74,11,9,Needs Improvement
55,13,7,Needs Improvement
98,17,9,Successful
90,19,4,Needs Improvement
98,11,7,Needs Improvement
62,16,2,Needs Improvement
82,19,1,Needs Improvement
100,3,4,Needs Improvement
70,15,4,Needs Improvement
55,16,8,Needs Improvement
61,4,8,Needs Improvement
57,18,4,Needs Improvement
81,16,2,Needs Improvement
54,10,2,Needs Improvement
50,4,4,Needs Improvement
86,10,1,Needs Improvement
88,18,6,Successful
76,7,4,Needs Improvement
53,19,6,Needs Improvement
60,10,5,Needs Improvement
81,11,9,Needs Improvement
84,18,9,Successful
73,15,3,Needs Improvement
97,10,4,Needs Improvement
83,11,7,Needs Improvement
60,6,5,Needs Improvement
71,14,1,Needs Improvement
82,1,8,Needs Improvement
83,1,5,Needs Improvement
96,15,3,Needs Improvement
90,1,4,Needs Improvement
72,10,4,Needs Improvement
51,10,1,Needs Improvement
82,19,2,Needs Improvement
64,10,6,Needs Improvement
